Index,Questions,Source
1,What about me surprised you?,Level 3
2,Based on what you know about me; do you have a Netflix recommendation?,Level 3
3,What do you think my superpower is?,Level 3
4,What do you think our most important similarities are?,Level 3
5,What do you think is one thing I could do that would drastically improve my life?,Level 3
6,What would be the perfect gift for me?,Level 3
7,How would you describe me to a stranger?,Level 3
8,What do I need to hear right now?,Level 3
9,Based on what you’ve learned about me; does my social media portray me accurately?,Level 3
10,What is a lesson you will take away from our conversation?,Level 3
11,What can I help you with?,Level 3
12,What do you think I fear the most?,Level 3
13,Where am I most qualified to give advice about?,Level 3
14,What about me is the hardest for you to understand?,Level 3
15,If we were a band; what would be our name?,Level 3
16,Admit something.,Level 3
17,What parts of yourself do you see in me?,Level 3
18,How does one earn your vulnerability?,Level 3
19,Dare your partner to do something out of their comfort zone next week.,Level 3
20,What do you recommend I should let go of?,Level 3
21,What has this conversation taught you about yourself?,Level 3
22,What do you think my defining characteristic is?,Level 3
23,What question were you most afraid to answer?,Level 3
24,Why do you think we met?,Level 3
25,When this game is over; what will be something you will remember about me?,Level 3
26,What do you think my weakness is?,Level 3
27,How do our personalities complement each other?,Level 3
28,What do you think I should know about myself that perhaps I’m unaware of?,Level 3
29,What would make you feel closer to me?,Level 3
30,What do you admire most about me?,Level 3
31,In one word; describe how you feel right now.,Level 3
32,Do you believe everyone has a calling? If so; do you think I’ve found mine?,Level 3
33,What can we create together?,Level 3
34,What answer of mine made you light up?,Level 3
35,What’s the most attractive quality about me that isn’t physical?,Level 3
36,What is the worst assumption someone has made about you?,Level 3
37,What was your first impression of me?,Level 3
38,How did you get over your first love?,Level 3
39,What’s your goal for 2020 and why?,Level 3
40,Are you lying to yourself about anything?,Level 3
41,What’s your favorite part of yourself that isn’t something physical?,Level 3
42,What is something you’ve learned about yourself this week?,Level 3
43,What belief about yourself no longer serves you?,Level 3
44,What do you need to forgive yourself for?,Level 3
45,Who do I remind you of?,Level 3
46,Admit something.,Level 3
47,How do you know you’re in love?,Level 3
48,How do you know you’re afraid of something?,Level 3
49,What do you need to forgive yourself for?,Level 3
50,Why is it so difficult for us to be vulnerable?,Level 3
51,Who in your life do you feel you can be most vulnerable with?,Level 3
52,Is there anyone who’s changed your life but doesn’t know it?,Level 3
53,Is there a certain feeling that you miss?,Level 3
54,When was the last time you used your pain to help someone else?,Level 3
55,When was the last time you felt the most yourself?,Level 3
56,Are you proud of who you have become?,Level 3
57,Are you the person you thought you would become? Why or why not?,Level 3
1,Draw a picture together (30 sec),Wildcard
2,Look into each other’s eyes for 30 seconds. What did you notice?,Wildcard
3,Write a message to each other and give it to each other. Open it once you have left.,Wildcard
4,Think of your favorite childhood TV show of all time; on the count of three say it out loud (both players).,Wildcard
5,Take a selfie together.,Wildcard
6,Staring contest. The first person to blink must reveal a personal problem and ask the other for advice on how they might handle it.,Wildcard
7,Create your own question. Anything. Make it count.,Wildcard
8,Tell the other person to close their eyes and to keep them closed. (Wait 10 seconds. Describe to them in detail your favorite memory of them/two of you).,Wildcard
9,Tell the other person to close their eyes and to keep them closed. (Wait 15 seconds and kiss them).,Wildcard
10,Press shuffle on your music library. Explain the first song that comes up!,Wildcard
11,Let go of your attachment to the outcome.,Wildcard
12,Both players share something you’re most grateful for in this current moment.,Wildcard
13,Draw your current feelings; then compare.,Wildcard
14,Show the first photo in your camera roll. Explain.,Wildcard
15,Think of something that you dislike that most people don’t. On the count of 3; say it out loud.,Wildcard
16,Share a favorite memory of yours. Compare. (Both),Wildcard
17,Sing your favorite song lyrics you can think of off the top of your head. (Both),Wildcard
18,How can I add 1% more happiness to your life?,Wildcard
19,Improvise a 15-second dance routine together and perform it.,Wildcard
20,Make up a short story together; alternating one sentence at a time.,Wildcard
21,Pick an object nearby and invent a silly new use for it. Explain to each other.,Wildcard
22,"Play a quick round of ""20 Questions"" where one thinks of something and the other guesses.",Wildcard
23,Create a secret handshake that only the two of you know.,Wildcard
24,Mimic each other’s laugh for 10 seconds; then discuss what you noticed.,Wildcard
25,Choose a random word (e.g.; from a book or app) and both say the first memory it sparks.,Wildcard
26,Act out a scene from a movie you both know without speaking; then guess the movie.,Wildcard
27,Each person shares a 5-second impression of the other as an animal; then explain why.,Wildcard
28,Take turns humming a tune; the other guesses the song or makes up lyrics for it.,Wildcard
29,"Build a tiny ""sculpture"" from nearby objects (e.g.; pens; cups) in 1 minute; then compare.",Wildcard
30,Whisper a random compliment to each other at the same time; then share what you heard.,Wildcard
31,"Play ""Two Truths and a Lie"" with one round each; then guess the lie.",Wildcard
32,"Point to something in the room and tell a 10-second fictional story about its ""life.""",Wildcard
